50 1000
42 18 695959305
48 38 875495278
44 12 514307133
7 29 884044141
25 37 638676645
48 17 774901541
7 40 754423061
19 33 746411413
28 1 534424701
24 34 610547949
47 28 537987426
14 6 808534395
34 47 757801625
45 10 574990279
38 33 865301956
12 31 697742209
34 13 596287842
28 5 669361248
45 12 984750883
50 49 704531675
31 47 725803905
27 13 577552732
15 30 690651972
21 26 719892620
30 4 503529061
22 34 678976113
22 9 638052151
24 38 647274518
37 26 875447554
1 8 995598651
46 6 695992392
32 20 871593921
15 40 520048030
6 20 775116568
31 6 607145429
49 21 843178562
50 22 910996284
43 39 994576606
33 35 905282924
17 23 605668052
28 10 881752877
38 28 821420780
36 44 520669652
36 20 814434048
14 5 567158456
18 23 505016817
19 20 505059665
14 25 823631821
47 37 529732185
31 42 500229309
41 3 734150724
48 25 568542765
40 45 709122947
38 23 885488233
30 42 871880478
50 5 969532629
14 45 708425934
42 48 750998819
27 25 534491554
41 6 840655888
25 34 686955557
48 16 590598725
44 28 627215615
24 18 880871178
36 38 559617707
11 23 824598900
49 16 582987245
39 12 518868443
3 20 859700536
19 38 847509217
32 41 745299563
19 13 705459160
41 47 623113881
45 47 657671091
23 7 802247451
4 31 653049688
7 15 556494058
33 18 584073946
26 32 618808801
6 26 576246536
15 37 579253632
4 38 743602078
12 25 797631322
35 6 801808055
47 33 683130316
17 50 927501528
13 20 930011780
41 27 895511902
12 37 539836298
4 19 932293480
28 16 861379944
5 48 509545591
40 5 522915064
23 47 594322770
8 13 570850585
18 40 908942120
33 10 862604641
42 20 549148296
18 28 546768975
29 40 565530905
3 11 670473396
32 1 647777596
32 16 855097864
32 5 764928660
42 9 781636670
14 41 933905217
13 37 714668560
15 16 702047111
33 23 824034116
37 30 527895804
30 29 921150833
40 4 737295976
29 26 850232947
2 17 560681227
2 48 735105543
46 3 500083565
36 18 562648690
48 36 572087871
26 12 666141169
40 13 735272853
49 48 531618890
42 25 728403253
7 27 645706589
23 43 578945305
17 37 759171644
28 8 977374440
35 21 947929959
14 49 703154156
27 1 557360816
31 35 852047278
49 24 756909082
46 43 653813779
10 14 600861946
18 5 810318693
17 33 597797233
23 35 762464439
41 42 512545612
19 12 829055209
20 38 831650074
1 25 504011144
20 39 617926053
17 22 977752743
44 34 517743177
15 20 635836630
6 40 879735476
30 7 898726786
37 44 737171468
38 29 929303849
50 36 685642101
9 21 510099498
5 31 729801592
10 39 660578067
15 5 606410533
32 46 511750015
30 31 953275177
48 30 531877553
5 39 731065307
32 29 875649115
18 32 996057911
13 45 696411466
9 43 536128815
14 30 714083122
23 5 579116829
2 24 623988943
41 22 782814727
30 45 892618508
48 34 671666362
39 47 797530444
42 28 754978533
12 47 541318938
7 22 947100667
36 2 729024544
23 10 551762748
33 1 676411097
40 28 640782008
19 22 517895591
20 34 795271551
37 50 509870945
28 34 901248139
1 13 558013108
23 6 733428172
40 39 602016447
32 47 585520017
28 43 874205630
6 29 680800748
29 41 828375856
26 4 886863782
36 9 841232487
12 29 958863042
11 50 808313886
41 8 943059578
5 43 958114354
29 20 617114081
38 11 587505370
27 2 537927523
25 6 656952647
6 39 749665909
29 43 900820140
35 7 904094346
28 45 907696108
29 48 977576773
34 4 735722772
16 36 862048514
20 9 763429897
8 39 532230661
29 4 760116873
43 42 619950828
11 43 899627649
3 17 926941033
20 37 870892338
29 50 631205599
22 12 740150382
42 6 786160614
49 47 542584204
22 8 650998356
13 28 659918762
32 3 969482881
43 47 716539890
1 44 779209850
5 46 661742472
31 26 882796560
17 28 503673098
9 12 663367357
41 38 660780781
24 45 969554249
10 49 811542793
22 2 985128783
7 9 770227633
31 33 867650768
39 25 967222027
22 6 759134099
7 39 779826534
21 37 949524805
2 41 575441982
26 30 842878035
13 44 798977648
45 6 993862512
28 19 606560769
4 21 665849285
27 19 800829556
45 22 733894835
37 45 504591455
29 49 632857032
30 10 749953382
7 25 812352451
16 50 663184461
28 4 504289912
20 18 598531600
36 22 882953422
31 14 587363572
10 35 615164352
35 30 624944873
15 42 821748721
32 13 732695831
38 18 883403449
44 20 684445820
3 50 548835295
49 11 624315539
47 21 548841372
35 5 782057177
47 30 508090897
17 18 842301287
39 32 802532956
26 25 919134142
38 42 661042390
29 17 913829996
22 46 676091491
11 31 916319632
3 36 850033465
18 44 742142791
1 35 652362609
38 32 575700238
18 15 898020116
2 49 842865514
35 46 906879581
20 26 616985880
8 45 734161487
22 21 572537880
30 50 925085496
34 12 998329980
9 49 596140321
39 19 530258281
38 2 766494936
42 47 924228157
8 49 550455896
15 32 630095367
34 31 713134041
11 4 668102551
6 33 531025766
18 41 875992014
47 20 592408336
38 44 754806332
11 27 657278792
37 7 973580510
4 44 616134156
20 28 896306865
18 48 630929881
31 17 972054566
44 21 531340343
10 29 567258648
39 45 887255641
50 44 728009993
8 43 988234206
16 2 979505555
50 40 650970010
19 16 910902171
41 50 857137363
7 47 694864899
31 15 933566396
42 23 539414648
34 8 863154466
10 34 561175591
27 10 724901641
31 44 991289890
7 18 912421894
48 19 716590846
10 48 764272943
46 26 946912223
18 10 653681937
11 7 934100094
2 12 594952598
8 23 935958189
22 42 767692931
27 9 775310879
17 7 617735584
1 48 873022885
45 11 659331496
18 26 671513766
5 49 948075505
24 5 549271526
15 34 764999680
10 24 938019859
9 41 813158855
30 33 956848771
21 6 844138440
42 34 584112308
44 7 782578356
32 48 692349260
23 1 931849417
12 13 883679225
21 3 598648471
37 23 998760760
15 10 831913107
19 29 694262437
20 4 836587786
47 48 509754535
31 36 727860514
41 43 582800228
11 47 574054199
34 38 522756149
37 43 805473111
39 33 526962387
35 28 955572930
41 25 776488479
25 36 764456132
15 48 529086585
14 16 943404786
33 2 544228191
45 27 565486402
2 18 511920593
45 32 660010282
11 21 795765085
46 27 627817961
35 12 919373204
14 44 954692050
46 50 600488530
2 28 759608982
28 7 883927613
24 33 600261343
34 3 551213387
28 48 770536748
39 24 640984857
13 33 953532288
39 30 821069637
47 3 671582014
44 29 523187902
9 33 555617462
5 37 541913446
8 38 972805501
31 1 827496749
39 46 599503893
2 37 530134746
3 13 851433288
11 32 503802752
7 50 867726409
3 35 758501759
44 6 887759436
13 35 674896830
5 25 696274802
7 21 630875937
25 20 517521667
16 34 626764186
16 35 520881369
50 39 775166199
16 45 502680447
9 19 504565624
37 39 625546981
11 10 589562511
12 28 645612093
44 39 764038694
50 34 648919209
24 36 888715759
1 49 604652690
39 34 507725526
3 16 573361108
3 30 961904047
12 23 718713901
28 32 998442004
20 27 923354434
50 21 722361097
23 27 656570688
33 11 663318516
30 24 929343997
25 30 801122230
28 14 853808687
48 24 562282630
31 19 781390649
31 18 768610820
12 6 510715800
42 27 761050052
38 3 749491903
14 38 988194773
19 26 973850446
32 36 854049767
41 7 619097317
39 26 554754912
32 22 709926731
34 27 977460131
23 32 530072842
30 46 576931852
41 21 869601522
3 29 568922808
34 7 557504352
34 37 954219045
42 37 727012578
4 49 729176409
41 34 636599579
22 33 610695634
8 33 754965723
14 39 679859490
18 3 957446834
17 39 909689822
1 41 787990855
24 14 928251827
17 12 960218961
19 17 542967279
25 4 771452559
10 42 955939702
3 12 581980045
46 48 676310404
32 49 604333772
25 31 910131201
21 46 524730047
28 27 575028337
23 4 586623792
29 21 929538796
25 15 604006105
31 21 542885047
46 25 776755237
45 34 520291615
38 47 725405742
2 30 999731056
42 36 755732238
7 46 956756477
4 16 568627963
25 22 805411821
2 14 846326684
39 48 715483425
35 44 885362502
17 5 503436186
31 45 520228641
17 13 669823858
37 27 645892534
20 41 923419872
46 34 524631260
16 22 827967295
50 33 683660047
16 40 560638303
20 7 557375548
10 17 762001768
37 8 655149571
12 15 984532070
19 34 942816547
33 36 849711021
24 42 897090021
41 16 833541358
42 33 998807290
9 17 638296682
25 18 642355421
35 24 646784533
24 46 775846616
33 7 609962445
31 22 851867250
15 19 867028865
15 2 522476864
40 49 682887460
29 14 691079283
47 5 639510396
46 8 937869436
46 10 800743764
20 17 653870142
22 30 930072688
44 26 719471874
20 40 946426633
40 21 667696027
50 8 977840912
10 13 961934866
2 45 641154032
18 4 706392967
29 37 761585957
27 40 514253589
17 41 623639296
11 5 737679630
43 35 649040302
24 7 935110519
13 30 778110342
19 37 736272995
31 10 800567427
47 27 726607272
42 7 755603186
5 13 573157667
13 29 598164658
15 39 726736381
40 37 716266366
23 22 927175273
22 10 503163782
22 26 598341214
34 14 631195455
37 1 876724385
42 16 806981117
15 46 941491968
37 41 990646517
23 30 827681775
2 46 946891137
44 49 897604108
7 38 774744183
35 22 828664287
25 9 811003877
17 25 519321798
29 9 635335062
5 20 563389945
47 8 541079866
42 29 989770428
18 46 868771667
21 45 999913417
4 14 979058181
1 46 775195020
24 31 591232390
24 29 500343767
28 31 623253554
22 28 879831753
9 45 838338834
13 15 980455679
50 15 566733365
14 35 975991304
50 10 888973589
45 36 985152573
23 29 827266859
43 13 750746845
46 47 885837131
32 9 591178973
23 19 613086626
2 25 711037625
2 29 748575962
20 11 718801149
9 6 582856627
12 20 883149731
19 47 975283429
19 5 518362889
35 49 732999783
24 22 578834290
33 45 739612097
